"","Hypothesis","Mag","RelA","RelB","RelBoth","CVoI","Red"
"1","1","2.00 (0.35)","0.78 (0.26)","0.11 (0.10)","0.06 (0.02)","0.22 (0.04)","2.00 (0.42)"
"2","2","1.78 (0.21)","2.67 (0.21)","1.11 (0.18)","0.78 (0.14)","1.39 (0.30)","2.33 (0.31)"
"3","3","2.00 (0.30)","2.22 (0.29)","0.67 (0.16)","0.36 (0.10)","0.61 (0.23)","2.22 (0.30)"
"4","4","1.89 (0.25)","1.33 (0.16)","2.00 (0.28)","0.67 (0.13)","1.31 (0.29)","2.67 (0.46)"
"5","5","2.00 (0.36)","1.89 (0.36)","2.56 (0.31)","1.39 (0.27)","2.11 (0.71)","2.00 (0.36)"
"6","6","1.78 (0.30)","1.67 (0.22)","1.22 (0.35)","0.58 (0.16)","0.83 (0.32)","2.11 (0.33)"
"7","7","2.56 (0.23)","1.89 (0.28)","1.33 (0.22)","0.72 (0.14)","1.75 (0.39)","1.44 (0.35)"
"8","8","2.56 (0.27)","1.56 (0.31)","1.44 (0.31)","0.61 (0.17)","1.58 (0.46)","1.22 (0.14)"
"9","9a","2.78 (0.29)","1.22 (0.21)","1.11 (0.26)","0.28 (0.10)","0.86 (0.30)","1.33 (0.22)"
"10","9b","2.78 (0.26)","1.44 (0.24)","1.78 (0.33)","0.75 (0.16)","2.22 (0.47)","0.78 (0.14)"
"11","9c","3.00 (0.15)","1.33 (0.27)","0.56 (0.23)","0.22 (0.09)","0.75 (0.26)","0.44 (0.16)"
"12","9d","3.00 (0.22)","1.67 (0.27)","2.00 (0.40)","1.00 (0.22)","2.67 (0.67)","1.00 (0.28)"
"13","9e","2.78 (0.27)","2.11 (0.35)","1.00 (0.23)","0.64 (0.15)","1.89 (0.44)","1.22 (0.21)"
"14","9f","2.67 (0.27)","1.78 (0.35)","1.11 (0.33)","0.58 (0.18)","1.67 (0.50)","0.89 (0.19)"
"15","10","0.33 (0.16)","0.11 (0.11)","0.22 (0.22)","0.00 (0.01)","0.00 (0.00)","2.22 (0.58)"
"16","11","1.56 (0.23)","0.89 (0.10)","1.78 (0.38)","0.39 (0.10)","0.53 (0.18)","2.00 (0.36)"
"17","12","1.33 (0.35)","0.44 (0.17)","1.33 (0.32)","0.19 (0.07)","0.36 (0.11)","1.78 (0.38)"
"18","13","0.33 (0.16)","0.11 (0.10)","1.67 (0.34)","0.08 (0.05)","0.00 (0.02)","2.56 (0.47)"
"19","14","2.11 (0.25)","1.56 (0.26)","2.11 (0.24)","0.94 (0.17)","1.92 (0.41)","1.22 (0.21)"
"20","15","2.11 (0.25)","0.89 (0.25)","2.11 (0.32)","0.53 (0.15)","1.14 (0.33)","1.11 (0.25)"
"21","16","2.22 (0.21)","1.22 (0.21)","0.89 (0.30)","0.36 (0.10)","0.89 (0.23)","1.33 (0.23)"
"22","17","2.67 (0.32)","1.56 (0.23)","0.56 (0.32)","0.22 (0.13)","0.64 (0.35)","1.11 (0.24)"
